gene_symbol,colors,ens_gene_human,habu_gene_id,habu_target_id,gene_id,SRR41,SRR42,SRR43,SRR44,SRR45,SRR46,SRR47,SRR48,SRR49,SRR50,SRR51,SRR52,SRR53,Pm_3,Pm_4,Pm_6,Pm_7,Pm_8,Pm_9,Pm_10,Pm_11,Pm_12,Pm_14,Pm_16,Pm_17,Pm_18
VDAC2,turquoise,ENSG00000165637,107298679,XM_029286594.1,7417,649,1327,966,1120,1224,813,778,700,699,770,1031,851,765,2690,2193,1591,2554,2653,1918,2224,2737,2247,1962,1699,1980,1070
VEGFC,cyan,ENSG00000150630,107285706,XM_029283732.1,7424,136,64,57,128,35,60,78,84,59,51,87,73,127,201,95,76,56,103,104,156,150,65,87,42,91,48
VIPR1,turquoise,ENSG00000114812,107284351,XM_015812398.1,7433,381,162,177,210,207,299,235,427,199,160,284,242,565,13,55,39,110,6,13,7,2,33,12,39,4,44
WIPF1,greenyellow,ENSG00000115935,107287390,XM_015815901.1,7456,739,241,210,264,263,515,274,228,332,228,306,386,603,263,111,69,65,82,28,150,121,48,73,73,113,59
XPC,turquoise,ENSG00000154767,107295642,XM_015824962.1,7508,405,542,430,501,490,449,460,286,333,340,382,406,502,145,94,65,91,98,107,119,98,133,98,94,127,45
XRCC1,green,ENSG00000073050,107293236,XM_015822380.1,7515,120,138,162,117,177,182,207,101,69,98,116,102,137,27,29,2,2,18,16,7,16,9,11,10,4,3
YY1,cyan,ENSG00000100811,107291393,XM_015820391.1,7528,1024,1033,746,799,943,803,792,728,826,681,935,827,1128,218,249,164,110,140,157,265,279,192,128,98,198,118
ZBTB17,grey60,ENSG00000116809,107296447,XM_029286067.1,7709,194,275,231,195,239,269,198,157,193,192,258,238,294,11,8,7,19,15,3,14,4,13,4,9,6,9
ZNF217,lightcyan,ENSG00000171940,107287087,XM_015815546.2,7764,736,633,561,612,772,847,640,665,1053,442,774,721,878,215,171,130,38,59,38,80,86,84,75,136,88,103
SLC30A2,magenta,ENSG00000158014,107295677,XM_015825002.1,7780,41,54,56,46,96,65,54,41,48,36,45,35,52,13,5090,3428,2228,92,2895,99,5,2993,1174,2056,2172,1669
BSND,turquoise,ENSG00000162399,107286637,XM_015815031.1,7809,63,106,65,103,117,159,120,83,154,119,139,141,90,0,0,1,5,0,1,0,0,1,1,0,2,2
DAP3,turquoise,ENSG00000132676,107299347,XM_015828712.1,7818,474,608,480,468,497,509,439,488,497,383,552,463,496,293,164,79,87,111,129,133,144,129,97,105,138,89
USP7,cyan,ENSG00000187555,107296635,XM_015825981.1,7874,1367,1190,990,1011,1136,1094,1010,1059,1100,859,1120,1123,1424,1101,996,610,433,873,756,678,669,741,437,558,708,451
REEP5,turquoise,ENSG00000129625,107293247,XM_015822391.1,7905,1333,1540,986,1317,1134,1499,958,1496,1315,1142,1545,1497,1972,2888,2569,2611,2056,1368,1451,2345,2909,2365,1339,1248,1895,1118
ALDH5A1,magenta,ENSG00000112294,107289602,XM_015818385.1,7915,147,185,152,132,133,187,156,85,138,146,215,175,177,203,194,350,306,148,422,171,128,717,129,289,535,292
PRRC2A,turquoise,ENSG00000204469,107290879,XM_029284828.1,7916,93,77,93,407,138,673,95,228,103,296,564,67,73,138,166,87,201,115,142,101,115,109,69,114,139,72
BAG6,turquoise,ENSG00000204463,107290883,XM_029284829.1,7917,58,160,276,308,141,937,146,419,49,98,231,72,336,63,45,24,203,23,59,40,48,49,38,32,34,25
NELFE,green,ENSG00000204356,107298251,XM_015827621.1,7936,181,120,144,154,177,166,231,128,188,146,167,153,178,6,7,3,2,3,4,8,4,13,2,5,4,0
TUSC3,magenta,ENSG00000104723,107287928,XM_015816489.1,7991,235,128,84,140,85,126,125,192,161,231,158,201,226,143,383,439,44,143,192,334,184,303,165,139,209,289
SLC25A16,brown,ENSG00000122912,107288084,XM_015816662.1,8034,830,819,497,669,662,895,528,952,752,795,805,770,1061,494,88,128,66,70,58,86,369,288,205,66,105,108
SSPN,black,ENSG00000123096,107295123,XM_015824421.1,8082,272,239,223,205,269,177,232,196,213,219,245,213,338,0,1,0,0,3,0,2,0,0,1,0,0,0
DPF3,magenta,ENSG00000205683,107298668,XM_015828044.1,8110,27,8,17,3,18,20,7,27,5,3,27,6,8,30,49,50,30,59,66,34,28,45,44,34,40,43
SLC7A5,turquoise,ENSG00000103257,107292886,XM_015822012.1,8140,510,295,122,553,233,766,289,373,382,216,612,707,315,11,27,10,37,5,12,2,4,13,4,12,10,6
GDF5,magenta,ENSG00000125965,107287104,XM_015815571.1,8200,28,200,44,161,85,130,88,49,53,68,109,109,56,0,244,366,77,14,292,8,1,487,85,366,213,262
ESS2,blue,ENSG00000100056,107292968,XM_015822096.1,8220,79,95,75,68,98,94,86,67,77,80,74,90,98,8,8,4,0,2,8,2,5,3,3,2,1,6
PUDP,magenta,ENSG00000130021,107288362,XM_015816975.1,8226,142,127,51,66,59,129,114,111,119,51,60,113,144,311,217,249,164,0,91,172,109,215,191,223,145,197
COLQ,red,ENSG00000206561,107282914,XM_029283100.1,8292,36,27,26,20,22,23,30,19,23,28,19,30,30,27,4,3,0,2,3,4,16,6,5,3,1,4
ACOX3,turquoise,ENSG00000087008,107300237,XM_015829573.1,8310,506,675,471,546,555,496,504,447,483,370,649,503,895,1061,1153,593,1179,719,1276,921,772,982,687,753,942,758
BRAP,turquoise,ENSG00000089234,107286994,XM_015815444.1,8315,267,304,295,230,232,282,226,258,301,246,320,275,332,9,26,6,23,12,15,4,18,11,1,8,12,4
FZD9,black,ENSG00000188763,107284704,XM_029283503.1,8326,4,29,45,22,50,20,68,3,6,10,16,12,13,4,15,4,7,22,6,9,15,14,8,7,8,10
RECK,lightcyan,ENSG00000122707,107298543,XM_029286596.1,8434,139,59,57,65,65,83,82,54,94,95,99,74,204,469,196,175,29,253,81,157,134,208,181,268,168,225
RASAL1,tan,ENSG00000111344,107296970,XM_015826327.1,8437,789,1204,808,1373,704,1376,725,779,935,859,1291,1080,1143,7,69,17,8,7,9,9,23,8,5,11,11,4
GNPAT,turquoise,ENSG00000116906,107290180,XM_029284700.1,8443,886,487,482,812,432,631,383,690,587,584,608,586,869,508,501,330,339,445,344,433,630,413,370,204,464,199
SORBS2,tan,ENSG00000154556,107302661,XM_015831783.1,8470,1835,2574,2575,2893,2419,2936,1882,1842,2151,2116,3301,3376,2547,126,161,187,34,85,50,169,179,64,155,69,105,105
OGT,tan,ENSG00000147162,107303237,XM_015832440.1,8473,5583,6675,5778,6591,5720,7159,5315,4988,5301,4951,7153,6123,6420,758,541,283,275,391,310,366,402,215,206,212,401,231
PPFIA4,cyan,ENSG00000143847,107289273,XM_015818001.1,8497,31,16,24,25,30,18,26,17,8,25,24,28,30,73,76,48,34,20,53,41,42,57,27,10,64,28
PPFIA2,black,ENSG00000139220,107284032,XM_029283365.1,8499,58,65,54,16,74,13,31,13,27,19,37,16,18,47,27,41,15,21,25,49,69,17,36,38,55,19
SLC43A1,magenta,ENSG00000149150,107291533,XM_015820541.1,8501,189,345,247,196,284,246,325,177,150,126,210,123,281,18,100,72,21,13,43,8,7,62,34,91,25,92
PEX3,magenta,ENSG00000034693,107286869,XM_015815306.1,8504,169,134,104,121,123,146,91,146,117,117,124,173,186,1547,1638,1619,458,945,1453,1282,1445,2174,821,849,872,960
MMP23B,magenta,ENSG00000189409,107290682,XM_015819588.1,8510,42,12,9,16,3,12,16,8,15,5,13,14,13,805,1215,609,153,101,596,437,425,293,146,182,847,253
COPS3,turquoise,ENSG00000141030,107289120,XM_015817814.1,8533,354,365,362,316,367,338,313,333,325,265,344,329,348,1381,1346,598,815,1099,671,1245,1241,1272,1229,489,655,730
CBX4,turquoise,ENSG00000141582,107290958,XM_015819902.2,8535,177,212,143,145,278,148,203,194,89,145,162,111,225,445,246,184,134,142,114,166,316,119,123,197,87,113
PPFIA3,turquoise,ENSG00000177380,107282407,XM_015810182.1,8541,45,37,25,37,37,53,39,56,31,23,29,31,74,31,21,31,38,33,15,14,12,56,18,29,34,21
BLZF1,turquoise,ENSG00000117475,107287456,XM_015815979.1,8548,375,330,273,290,354,286,272,309,281,271,325,336,332,32,100,29,36,30,35,26,38,40,25,31,47,25
STK16,turquoise,ENSG00000115661,107288112,XM_015816695.1,8576,157,154,120,167,141,189,146,140,160,173,198,151,213,533,267,211,479,143,327,216,222,188,155,228,235,266
TMEFF1,cyan,ENSG00000241697,107292582,XM_015821686.1,8577,0,0,9,4,4,3,7,7,4,0,0,0,4,24,48,210,189,151,1149,27,17,696,21,62,62,14
SKAP1,blue,ENSG00000141293,107282594,XM_029283044.1,8631,29,68,59,58,63,51,65,15,18,36,59,42,29,1,1,0,0,0,0,0,0,0,0,1,1,1
ABCB11,lightcyan,ENSG00000073734,107292781,XM_015821903.1,8647,12,8,20,27,18,17,11,4,18,6,17,32,14,10,8,8,0,9,2,7,6,3,6,15,2,9
EIF3A,turquoise,ENSG00000107581,107290579,XM_015819470.1,8661,2283,2900,2598,2282,2690,2130,2105,1793,2202,1881,2259,2169,2408,1889,1598,1487,1292,1364,1703,1779,1995,2050,1316,976,1900,966
VAMP8,turquoise,ENSG00000118640,107283276,XM_015811150.2,8673,601,635,534,447,471,430,462,587,556,476,524,448,671,1245,917,629,582,592,470,792,1182,667,475,421,493,339
STX16,tan,ENSG00000124222,107293529,XM_015822683.1,8675,905,984,829,1061,892,1226,856,436,917,776,1081,1041,1081,13,9,7,4,8,2,10,13,6,1,5,10,8
DGAT1,brown,ENSG00000185000,107300055,XM_015829398.1,8694,197,160,135,159,187,177,173,177,138,107,149,141,277,4,3,6,5,4,1,5,5,5,4,7,6,4
EDF1,turquoise,ENSG00000107223,107302544,XM_015831660.1,8721,1173,1425,1226,1113,1376,1089,1304,1379,1079,1022,1316,998,1201,111,237,174,493,164,162,256,215,198,225,205,249,135
EED,darkgrey,ENSG00000074266,107294668,XM_015823920.1,8726,229,124,107,133,113,131,131,189,173,119,136,172,196,7,17,59,1,9,49,66,8,67,54,38,7,22
GBF1,magenta,ENSG00000107862,107294832,XM_015824097.1,8729,1517,1217,1160,1142,1281,1620,1113,1289,1043,822,1371,1457,1626,919,1046,635,391,331,553,305,406,603,322,411,523,354
CRADD,blue,ENSG00000169372,107284706,XM_015812813.1,8738,105,188,165,143,185,124,113,99,156,140,184,130,149,292,164,183,96,126,83,252,283,194,154,117,230,93
RIPK2,cyan,ENSG00000104312,107285743,XM_015813978.2,8767,134,103,132,112,144,123,99,91,132,58,107,131,142,223,178,138,161,99,206,120,170,135,70,70,115,78
NAPA,green,ENSG00000105402,107293880,XM_015823071.1,8775,575,767,683,608,884,873,770,564,632,356,789,694,714,423,254,197,80,135,87,134,236,142,171,101,84,127
RGS9,turquoise,ENSG00000108370,107282570,XM_015810365.1,8787,229,533,499,532,550,313,534,842,441,451,851,442,320,21,3,19,15,3,22,5,4,13,16,32,24,26
DPM1,magenta,ENSG00000000419,107290411,XM_015819289.1,8813,211,206,186,168,192,151,126,211,210,211,207,238,235,951,1259,1071,537,619,573,1016,1333,1135,642,568,800,496
TMEM11,turquoise,ENSG00000178307,107298598,XM_029286573.1,8834,111,170,170,141,202,138,125,140,161,123,179,142,121,11,10,15,11,2,12,8,6,16,9,4,8,3
STK19,blue,ENSG00000204344,107298253,XM_015827622.1,8859,37,48,48,26,19,12,30,3,25,22,19,27,17,110,42,35,23,21,26,32,38,47,28,18,46,28
SGPL1,turquoise,ENSG00000166224,107292169,XM_015821231.1,8879,757,495,463,488,591,604,515,569,507,475,583,673,622,1360,537,666,633,462,362,1046,1105,634,342,656,928,368
SLC5A6,turquoise,ENSG00000138074,107286449,XM_015814821.1,8884,197,140,111,90,141,209,151,100,280,93,142,152,152,618,732,335,247,136,258,148,227,147,157,165,190,208
EIF2B5,turquoise,ENSG00000145191,107294970,XM_015824249.1,8893,480,537,473,515,475,530,425,467,510,422,506,511,620,37,35,6,17,9,35,6,7,10,10,7,13,15
WASL,turquoise,ENSG00000106299,107293060,XM_015822196.1,8976,655,670,491,627,572,649,430,452,552,551,639,639,754,266,205,133,213,163,211,195,237,194,134,163,222,117
MAP7,turquoise,ENSG00000135525,107282178,XM_015809934.1,9053,684,976,649,703,849,556,585,857,547,469,556,551,884,833,456,384,465,305,397,470,438,331,247,307,351,368
MAP3K6,white,ENSG00000142733,107294312,XM_015823539.2,9064,455,512,395,410,749,525,365,134,753,196,450,619,401,206,86,66,42,64,71,66,103,41,36,72,63,18
SYT7,grey60,ENSG00000011347,107287904,XM_015816466.1,9066,454,899,955,1258,1461,1834,1104,313,1104,873,1689,1453,723,20,138,31,122,29,92,7,10,49,15,41,42,59
CLDN12,brown,ENSG00000157224,107286837,XM_015815270.1,9069,697,252,272,320,329,337,274,785,400,319,408,399,696,81,64,34,30,24,34,31,46,68,39,56,6,48
USP10,turquoise,ENSG00000103194,107282716,XM_015810537.1,9100,536,499,420,439,446,524,428,388,424,287,441,453,538,479,364,199,188,327,162,210,261,240,172,153,211,144
USP8,cyan,ENSG00000138592,107293591,XM_015822748.1,9101,1486,1306,1137,1181,1115,1202,1186,1188,1175,1139,1352,1360,1585,854,607,302,229,357,474,564,403,453,285,256,465,246
SLC16A5,cyan,ENSG00000170190,107286650,XM_015815046.1,9121,54,60,38,64,27,84,50,29,56,52,60,44,82,96,65,40,27,61,50,39,59,44,45,26,36,23
RABEP1,magenta,ENSG00000029725,107289163,XM_015817862.1,9135,926,742,711,801,742,905,642,734,848,867,1021,932,1019,133,156,182,56,80,73,121,155,125,106,59,117,97
PDCD5,turquoise,ENSG00000105185,107291110,XM_015820072.2,9141,211,125,136,147,119,133,114,196,166,148,178,130,180,141,134,55,101,100,85,94,81,87,39,65,105,66
SYNGR2,turquoise,ENSG00000108639,107294896,XM_015824165.2,9144,702,754,726,649,838,972,719,1118,701,362,685,673,1472,3192,2707,2020,2615,1915,1812,1978,3075,1906,1473,1654,1437,1290
NEMF,cyan,ENSG00000165525,107298230,XM_015827605.1,9147,890,797,618,680,731,682,541,726,719,694,767,735,860,666,764,487,363,537,662,452,585,421,533,292,583,338
EBAG9,turquoise,ENSG00000147654,107297909,XM_015827271.1,9166,181,365,310,291,351,254,267,235,240,230,271,238,175,264,484,367,811,205,516,169,161,589,177,366,479,345
DEDD,grey60,ENSG00000158796,107293818,XM_015823003.2,9191,177,219,215,161,169,178,191,129,168,93,171,212,205,2,0,1,5,1,2,3,2,2,4,0,3,0
SLC33A1,magenta,ENSG00000169359,107288043,XM_015816619.1,9197,841,757,606,620,714,796,760,1008,687,617,674,834,771,899,1337,755,253,318,526,353,497,792,312,351,329,402
CYTH3,greenyellow,ENSG00000008256,107291733,XM_029285007.1,9265,409,213,187,175,260,284,212,166,201,173,218,224,346,5,3,1,3,5,0,3,4,0,2,0,3,1
BCL7B,turquoise,ENSG00000106635,107284710,XM_015812814.1,9275,172,192,158,162,210,146,178,137,157,112,150,179,218,546,492,306,426,482,298,491,482,499,405,262,312,210
TRIP11,magenta,ENSG00000100815,107297363,XM_015826730.1,9321,1601,1335,1149,1273,1277,1171,1093,1470,1276,1150,1291,1369,1690,785,716,738,309,548,560,464,609,602,315,365,723,357
GTF3C5,black,ENSG00000148308,107299321,XM_015828683.1,9328,235,283,280,201,233,264,243,200,169,155,245,226,272,48,41,24,17,37,11,42,40,25,48,20,17,27
B4GALT6,brown,ENSG00000118276,107292806,XM_015821929.2,9331,154,126,60,70,101,68,66,146,80,90,73,94,144,1,0,2,1,0,0,1,1,0,0,0,4,0
KL,black,ENSG00000133116,107286822,XM_015815253.1,9365,31,102,20,15,28,8,23,10,16,25,13,15,24,5,9,8,0,7,3,17,4,2,10,8,6,2
GRHPR,turquoise,ENSG00000137106,107291253,XM_015820237.1,9380,517,752,783,657,672,696,673,501,605,623,780,676,587,234,232,192,289,155,132,183,171,236,202,143,252,190
COG1,turquoise,ENSG00000166685,107283215,XM_015811088.1,9382,321,603,465,475,516,487,447,364,376,365,558,505,567,60,127,52,113,37,80,51,64,41,52,30,72,44
CIAO1,tan,ENSG00000144021,107283480,XM_015811402.1,9391,594,811,697,674,759,729,670,549,649,654,771,688,724,19,19,12,10,21,5,12,18,6,13,17,12,13
HS6ST1,turquoise,ENSG00000136720,107287664,XM_015816193.1,9394,441,430,316,269,502,346,437,191,494,231,303,327,427,51,30,32,36,32,40,36,31,33,19,17,41,13
SELENOF,magenta,ENSG00000183291,107302504,XM_015831616.2,9403,910,599,425,578,490,541,406,883,663,588,587,604,969,848,825,1049,909,615,837,744,778,2286,467,632,791,770
NTN1,green,ENSG00000065320,107286776,XM_015815199.1,9423,222,406,377,401,603,489,428,194,358,263,450,459,456,5,5,2,1,6,0,9,4,1,3,1,4,2
KCNK6,brown,ENSG00000099337,107285655,XM_015813868.2,9424,788,828,729,567,827,643,827,888,604,456,584,581,1042,12,9,4,5,2,1,5,5,4,1,4,3,3
MED26,turquoise,ENSG00000105085,107282266,XM_015810040.1,9441,103,112,86,92,146,147,126,68,114,60,130,145,127,98,66,35,46,37,37,54,57,50,27,29,54,19
MED27,turquoise,ENSG00000160563,107292976,XM_015822104.1,9442,122,105,71,73,94,80,86,71,125,59,103,84,115,73,43,26,47,14,19,65,62,23,46,14,26,24
ITM2B,brown,ENSG00000136156,107284301,XM_015812336.1,9445,4689,3026,2216,2994,2804,3416,2295,4486,3303,2502,3321,3187,7048,4322,3673,3505,1912,2469,1807,3910,4207,3080,1899,1791,2811,1388
EIF2AK3,magenta,ENSG00000172071,107302385,XM_015831485.1,9451,1467,1210,811,1294,1241,1232,747,2027,892,1003,1014,1805,2008,1505,753,919,275,516,700,337,312,1354,500,830,398,738
EIF4E2,turquoise,ENSG00000135930,107302577,XM_015831694.1,9470,426,406,313,280,332,369,366,471,357,333,369,343,473,135,322,168,476,222,102,101,107,129,86,100,92,158
PIGB,cyan,ENSG00000069943,107283161,XM_015811027.1,9488,208,346,240,208,230,236,201,180,218,195,234,200,315,193,144,135,135,86,225,133,140,162,75,86,195,70
SLC4A8,brown,ENSG00000050438,107292109,XM_029285090.1,9498,225,211,163,247,176,187,225,316,215,169,166,179,408,9,2,0,1,0,1,0,2,0,1,0,3,0
BAG3,green,ENSG00000151929,107288595,XM_015817228.1,9531,180,423,238,206,609,282,345,173,446,82,215,267,258,549,668,248,306,465,284,644,594,448,491,319,307,261
BAG2,turquoise,ENSG00000112208,107295497,XM_015824812.1,9532,179,20,24,27,23,49,29,51,48,24,30,33,104,11,20,9,34,65,7,31,3,16,37,7,18,15
SEC22B,magenta,ENSG00000265808,107292378,XM_015821463.1,9554,1671,1458,1268,1436,1474,1154,1015,2131,1310,1211,1348,1438,2201,1861,1027,1100,463,790,904,646,1042,1499,543,936,902,644
NR1D1,green,ENSG00000126368,107303077,XM_015832268.2,9572,193,150,302,131,215,506,215,63,304,139,763,383,596,258,186,123,116,296,135,147,113,144,201,195,84,224
PDIA4,magenta,ENSG00000155660,107292484,XM_015821578.1,9601,4135,912,663,775,748,1085,1106,3540,903,803,884,1047,3111,3076,2612,5582,4637,2000,8404,1194,1360,25227,4220,7264,6625,19254
RNF14,darkgrey,ENSG00000013561,107286831,XM_015815264.1,9604,534,529,523,523,558,518,424,528,570,687,645,633,636,474,497,350,147,304,355,468,414,374,269,237,307,190
NCOR2,grey60,ENSG00000196498,107295598,XM_029285880.1,9612,1411,2463,1652,1212,2747,2476,2085,595,1546,971,1653,1797,1815,332,243,136,267,237,136,115,181,154,91,102,222,141
RGS6,brown,ENSG00000182732,107293721,XM_015822884.1,9628,38,24,18,9,21,26,29,45,14,17,28,31,48,9,3,3,3,1,0,11,3,1,2,2,0,0
HS2ST1,darkgrey,ENSG00000153936,107290888,XM_015819828.1,9653,549,421,279,364,367,321,312,357,321,376,388,378,473,291,174,135,84,133,325,176,209,195,86,108,273,126
EIF5B,turquoise,ENSG00000158417,107302388,XM_015831491.1,9669,644,809,651,655,678,670,551,439,651,525,648,675,717,4361,4578,2829,3046,4558,3626,2583,2878,3575,2219,2081,3695,2103
N4BP1,blue,ENSG00000102921,107290812,XM_029284818.1,9683,545,573,465,480,540,533,427,462,470,392,547,540,624,80,92,34,26,58,41,53,46,36,24,34,58,35
LRRC14,green,ENSG00000160959,107297501,XM_029286332.1,9684,350,354,343,321,376,423,409,227,338,219,313,347,461,5,3,1,6,1,0,0,1,0,1,1,0,0
PRORP,cyan,ENSG00000100890,107290215,XM_015819080.2,9692,410,395,309,292,390,364,294,364,311,308,356,352,497,493,462,377,142,274,254,322,423,422,281,189,263,143
RAPGEF2,darkgrey,ENSG00000109756,107286040,XM_029283809.1,9693,2261,1927,1260,1379,1671,1642,1432,2099,1052,1155,1372,1381,2692,608,512,397,128,339,368,401,462,367,231,231,392,195
EDEM1,darkgrey,ENSG00000134109,107298918,XM_015828276.1,9695,1103,893,560,869,862,1011,684,1244,802,764,785,902,1394,72,88,122,58,63,117,75,84,117,49,37,100,52
TRAM2,brown,ENSG00000065308,107285560,XM_015813761.1,9697,876,306,167,319,220,340,307,369,269,231,320,319,766,283,258,175,62,92,106,111,101,125,83,75,115,76
DHX34,green,ENSG00000134815,107285658,XM_015813872.1,9704,206,209,156,132,243,222,227,115,183,99,192,194,232,1,0,0,3,1,1,0,1,1,0,0,1,1
RUBCN,turquoise,ENSG00000145016,107298468,XM_029286532.1,9711,410,392,316,285,330,344,334,266,284,267,342,370,448,19,43,20,33,18,12,16,13,7,6,14,10,12
RAB11FIP3,green,ENSG00000090565,107290315,XM_015819183.1,9727,120,134,245,291,361,353,157,120,152,201,172,294,300,13,30,18,9,14,20,2,15,18,6,14,13,13
HDAC9,black,ENSG00000048052,107282952,XM_015810790.1,9734,221,2054,1360,362,1796,359,1405,176,334,912,422,290,250,17,7,6,1,3,1,5,3,4,23,5,2,0
USP34,darkgreen,ENSG00000115464,107294921,XM_015824189.1,9736,3803,3288,2475,2919,2869,2822,2368,2892,2614,2522,2831,2957,3894,251,189,149,118,169,136,185,214,162,109,105,229,67
LAPTM4A,cyan,ENSG00000068697,107290367,XM_015819244.1,9741,1086,910,803,673,839,761,737,1151,767,632,876,844,1237,3111,2892,2687,970,1738,1673,2814,3570,3260,1529,1463,2250,1245
KMT2B,grey60,ENSG00000272333,107287999,XM_015816572.2,9757,477,684,536,474,780,762,771,220,587,297,572,561,738,218,243,97,134,75,88,99,131,66,76,74,89,74
ATG13,cyan,ENSG00000175224,107294858,XM_015824122.1,9776,696,721,661,605,700,665,686,780,533,451,589,657,781,400,369,332,144,329,258,471,448,312,341,212,346,191
PTDSS1,brown,ENSG00000156471,114922809,XM_029284804.1,9791,515,424,353,345,349,376,416,443,325,281,447,366,566,28,45,34,6,27,17,31,41,16,36,15,19,13
SCRN1,magenta,ENSG00000136193,107282778,XM_015810602.1,9805,869,793,492,730,518,683,460,776,727,579,613,529,1157,51,35,97,45,7,56,10,6,138,49,14,53,24
ELMO1,lightcyan,ENSG00000155849,107283289,XM_015811166.1,9844,522,272,198,280,293,371,251,200,264,287,262,355,421,276,131,204,30,165,58,60,121,240,101,208,128,183
GAB2,turquoise,ENSG00000033327,107299449,XM_015828806.1,9846,243,245,182,165,164,136,175,111,143,141,191,155,283,5,14,7,13,7,2,8,6,6,8,9,13,7
KIAA0319,cyan,ENSG00000137261,107289599,XM_015818381.1,9856,3,0,3,10,0,1,13,18,4,2,1,0,14,66,97,98,47,44,114,110,64,153,72,49,114,38
CEP350,cyan,ENSG00000135837,107283375,XM_015811269.1,9857,1564,2157,1637,2059,1883,1646,1420,1688,1712,1648,1970,2007,2013,1263,1244,893,580,1304,885,1346,1356,1244,777,877,999,636
SETDB1,turquoise,ENSG00000143379,107292899,XM_029285250.1,9869,405,393,370,350,366,377,387,329,305,280,395,353,484,5,11,2,12,6,3,6,4,4,4,4,10,0
TLK1,cyan,ENSG00000198586,107283891,XM_015811868.1,9874,821,768,635,881,642,716,576,629,730,651,732,809,958,426,433,391,260,251,416,439,395,464,207,219,456,178
URB1,magenta,ENSG00000142207,107290562,XM_029284772.1,9875,1307,814,674,789,753,907,790,1284,898,527,776,871,1242,798,948,875,257,517,708,524,727,770,541,546,815,761
ZC3H11A,lightgreen,ENSG00000058673,107302987,XM_029287340.1,9877,2247,1655,1315,1682,1757,1933,1460,1184,1586,1037,1463,1428,2528,740,494,375,165,402,399,556,585,413,245,217,553,152
TBC1D4,tan,ENSG00000136111,107303133,XM_015832330.1,9882,1014,1976,1717,2074,1863,1774,1399,886,1395,1399,2180,1698,1088,42,94,91,67,85,46,29,39,45,43,26,84,38
RHOBTB1,turquoise,ENSG00000072422,107297331,XM_015826689.2,9886,122,54,35,41,56,41,64,61,39,49,51,59,72,2,0,0,5,2,0,0,1,2,5,1,2,0
ZBED4,magenta,ENSG00000100426,107289328,XM_015818064.1,9889,412,320,240,245,340,336,365,285,299,190,294,365,484,1055,814,624,198,468,513,530,627,632,351,388,452,377
SRGAP3,magenta,ENSG00000196220,107292194,XM_015821262.1,9901,689,623,385,794,491,573,481,789,545,436,848,651,1033,225,410,344,50,93,92,114,158,424,68,95,105,62
RBM19,grey60,ENSG00000122965,107297706,XM_015827067.1,9904,442,574,556,436,464,642,500,308,481,331,575,477,474,80,67,17,30,50,21,30,16,29,28,21,25,15
ATP2C2,magenta,ENSG00000064270,107282697,XM_015810516.1,9914,757,50,31,978,61,407,25,1647,555,1010,706,156,1265,489,3391,816,399,169,531,292,304,270,225,262,400,213
RNF10,grey60,ENSG00000022840,107293456,XM_015822608.1,9921,865,1078,865,971,1050,1290,1068,567,960,634,1074,1008,982,50,79,40,63,74,32,30,34,45,29,36,36,21
XYLB,midnightblue,ENSG00000093217,107303317,XM_015832537.1,9942,213,193,216,228,211,254,316,243,197,172,342,274,279,162,130,74,41,96,66,67,91,124,122,103,90,70
GOLGA5,magenta,ENSG00000066455,107298069,XM_015827431.1,9950,642,652,639,637,601,611,453,825,529,503,535,624,1028,375,406,265,111,224,204,235,297,237,177,210,245,194
HS3ST1,cyan,ENSG00000002587,107290944,XM_015819890.1,9957,70,79,57,45,101,110,106,53,66,38,101,92,90,1441,1422,661,572,445,1288,708,850,1105,272,739,460,687
THRAP3,black,ENSG00000054118,107283719,XM_029283282.1,9967,1590,1648,1399,1245,1494,1223,1318,1142,1200,992,1330,1347,1592,480,486,285,223,434,363,477,614,394,240,284,434,243
DOP1B,magenta,ENSG00000142197,107293978,XM_015823171.1,9980,1598,1741,1479,1221,1397,1542,1103,1684,1220,925,2092,1303,2557,258,629,753,181,145,404,341,244,570,167,398,414,458
GNPDA1,magenta,ENSG00000113552,107286833,XM_015815265.1,10007,174,107,89,101,111,132,94,107,106,115,138,115,143,545,377,506,238,449,346,515,642,479,502,375,457,353
SH2B3,greenyellow,ENSG00000111252,107286973,XM_029284045.1,10019,504,217,167,138,258,256,243,105,216,203,182,265,318,7,8,2,2,0,3,4,12,5,2,1,1,1
RANBP9,cyan,ENSG00000010017,107286339,XM_015814692.1,10048,476,371,269,313,380,256,302,320,295,290,302,323,425,812,897,690,409,590,851,782,969,480,514,398,846,383
NR1H3,magenta,ENSG00000025434,107289838,XM_015818653.2,10062,119,94,97,89,105,76,155,75,86,105,100,84,82,334,532,749,189,140,469,279,338,505,346,340,374,326
COX17,turquoise,ENSG00000138495,107286223,XM_015814556.1,10063,158,124,80,130,97,129,105,133,134,95,113,112,148,72,95,101,265,193,82,89,106,237,96,118,71,91
PTPRU,green,ENSG00000060656,107284824,XM_029283530.1,10076,340,582,415,374,571,415,531,210,337,314,348,316,732,57,42,16,20,14,21,24,20,8,14,25,22,23
NUBP2,turquoise,ENSG00000095906,107293803,XM_015822986.1,10101,255,333,210,215,259,257,273,208,237,213,259,229,269,464,491,305,248,344,308,321,427,250,201,207,319,148
